screen -S run-1,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FedDrift --dataset DATASET --thresholds 1.5 1.5 --varying_disc ALPHA
screen -S run-2,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FairFedDrift --dataset DATASET --thresholds 0.05 0.05 --varying_disc ALPHA
screen -S run-3,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FairFedDrift --dataset DATASET --thresholds 0.1 0.1 --varying_disc ALPHA
screen -S run-4,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FairFedDrift --dataset DATASET --thresholds 0.25 0.25 --varying_disc ALPHA
screen -S run-5,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FairFedDrift --dataset DATASET --thresholds 0.5 0.5 --varying_disc ALPHA
screen -S run-6,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FairFedDrift --dataset DATASET --thresholds 0.75 0.75 --varying_disc ALPHA
screen -S run-7,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FairFedDrift --dataset DATASET --thresholds 1.0 1.0 --varying_disc ALPHA
screen -S run-8,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 3 --fl FairFedDrift --dataset DATASET --thresholds 1.5 1.5 --varying_disc ALPHA
screen -S run-9,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 4 --fl FedAvg --dataset DATASET --varying_disc ALPHA
screen -S run-10,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 4 --fl Oracle --dataset DATASET --varying_disc ALPHA
screen -S run-11,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 4 --fl FedDrift --dataset DATASET --thresholds 0.05 --varying_disc ALPHA
screen -S run-12,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 4 --fl FedDrift --dataset DATASET --thresholds 0.1 --varying_disc ALPHA
screen -S run-13,CUDA_VISIBLE_DEVICES=0,  python3 main.py --scenario 4 --fl FedDrift --dataset DATASET --thresholds 0.25 --varying_disc ALPHA
screen -S run-14,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FedDrift --dataset DATASET --thresholds 0.5 --varying_disc ALPHA
screen -S run-15,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FedDrift --dataset DATASET --thresholds 0.75 --varying_disc ALPHA
screen -S run-16,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FedDrift --dataset DATASET --thresholds 1.0 --varying_disc ALPHA
screen -S run-17,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FedDrift --dataset DATASET --thresholds 1.5 1.5 --varying_disc ALPHA
screen -S run-18,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FairFedDrift --dataset DATASET --thresholds 0.05 0.05 --varying_disc ALPHA
screen -S run-19,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FairFedDrift --dataset DATASET --thresholds 0.1 0.1 --varying_disc ALPHA
screen -S run-20,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FairFedDrift --dataset DATASET --thresholds 0.25 0.25 --varying_disc ALPHA
screen -S run-21,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FairFedDrift --dataset DATASET --thresholds 0.5 0.5 --varying_disc ALPHA
screen -S run-22,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FairFedDrift --dataset DATASET --thresholds 0.75 0.75 --varying_disc ALPHA
screen -S run-23,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FairFedDrift --dataset DATASET --thresholds 1.0 1.0 --varying_disc ALPHA
screen -S run-24,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 4 --fl FairFedDrift --dataset DATASET --thresholds 1.5 1.5 --varying_disc ALPHA
screen -S run-25,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 5 --fl FedAvg --dataset DATASET --varying_disc ALPHA
screen -S run-26,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 5 --fl Oracle --dataset DATASET --varying_disc ALPHA
screen -S run-27,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 5 --fl FedDrift --dataset DATASET --thresholds 0.05 --varying_disc ALPHA
screen -S run-28,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FedDrift --dataset DATASET --thresholds 0.1 --varying_disc ALPHA
screen -S run-29,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FedDrift --dataset DATASET --thresholds 0.25 --varying_disc ALPHA
screen -S run-30,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FedDrift --dataset DATASET --thresholds 0.5 --varying_disc ALPHA
screen -S run-31,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FedDrift --dataset DATASET --thresholds 0.75 --varying_disc ALPHA
screen -S run-32,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FedDrift --dataset DATASET --thresholds 1.0 --varying_disc ALPHA
screen -S run-33,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FedDrift --dataset DATASET --thresholds 1.5 1.5 --varying_disc ALPHA
screen -S run-34,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FairFedDrift --dataset DATASET --thresholds 0.05 0.05 --varying_disc ALPHA
screen -S run-35,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FairFedDrift --dataset DATASET --thresholds 0.1 0.1 --varying_disc ALPHA
screen -S run-36,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FairFedDrift --dataset DATASET --thresholds 0.25 0.25 --varying_disc ALPHA
screen -S run-37,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FairFedDrift --dataset DATASET --thresholds 0.5 0.5 --varying_disc ALPHA
screen -S run-38,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FairFedDrift --dataset DATASET --thresholds 0.75 0.75 --varying_disc ALPHA
screen -S run-39,CUDA_VISIBLE_DEVICES=2,  python3 main.py --scenario 5 --fl FairFedDrift --dataset DATASET --thresholds 1.0 1.0 --varying_disc ALPHA
screen -S run-40,CUDA_VISIBLE_DEVICES=1,  python3 main.py --scenario 5 --fl FairFedDrift --dataset DATASET --thresholds 1.5 1.5 --varying_disc ALPHA